word,pronunciation,meaning,example,image_url,category,difficulty
ぐっすり,ぐっすり,say,.,,,easy
きちんと,きちんと,ngay ngắn,.,,,easy
しっかり,しっかり,"kiên quyết, chắc chắn, đáng tin cậy",.,,,easy
はっきり,はっきり,rõ ràng,.,,,easy
じっと,じっと,"kiên nhẫn, chăm chú, chằm chằm",.,,,easy
そっと,そっと,"nhẹ nhàng, yên lặng",.,,,easy
別々に,べつべつに,riêng biệt,.,,,easy
それぞれ,それぞれ,"lần lượt, tương ứng",.,,,easy
互いに,たがいに,lẫn nhau,.,,,easy
直接,ちょくせつ,trực tiếp,.,,,easy
本当に,ほんとうに,"thật lòng, kỳ thực",.,,,easy
必ず,かならず,chắc chắn,.,,,easy
絶対に,ぜったいに,chắc chắn rồi,.,,,easy
特に,とくに,đặc biệt là,.,,,easy
ただ,ただ,chỉ,.,,,easy
少なくとも,すくなくとも,ít nhất,.,,,easy
決して,けっして,không bao giờ,.,,,easy
少しも,すこしも,một chút,.,,,easy
ちっとも,ちっとも,(không) tí gì,.,,,easy
全く,まったく,hoàn toàn (không),.,,,easy
とても,とても,rất,.,,,easy
どんなに,どんなに,"thế nào, bao nhiêu",.,,,easy
どうしても,どうしても,kiểu gì cũng,.,,,easy
まるで,まるで,như là,.,,,easy
一体,いったい,cái quái gì,.,,,easy
別に,べつに,(không) có gì,.,,,easy
たった,たった,chỉ,.,,,easy
ほんの,ほんの,một chút,.,,,easy
それで,それで,thế thì,.,,,easy
そこで,そこで,tiếp theo,.,,,easy
そのうえ,そのうえ,hơn nữa,.,,,easy
また,また,nữa,.,,,easy
または,または,hoặc,.,,,easy
それとも,それとも,hoặc,.,,,easy
つまり,つまり,nói cách khác,.,,,easy
