word,pronunciation,meaning,example,image_url,category,difficulty
温まる,あたたまる,trở nên ấm hơn,.,,,easy
温める,あたためる,"ấm, nóng",.,,,easy
高まる,たかまる,cao lên,.,,,easy
高める,たかめる,làm cao lên,.,,,easy
強まる,つよまる,mạnh lên,.,,,easy
強める,つよめる,làm mạnh lên,.,,,easy
弱まる,よわまる,yếu đi,.,,,easy
弱める,よわめる,làm yếu đi,.,,,easy
広まる,ひろまる,rộng ra,.,,,easy
広める,ひろめる,làm rộng ra,.,,,easy
深まる,ふかまる,sâu hơn,.,,,easy
深める,ふかめる,làm sâu thêm,.,,,easy
世話,せわ,chăm sóc,.,,,easy
家庭,かてい,gia đình,.,,,easy
協力,きょうりょく,hiệp lực,.,,,easy
感謝,かんしゃ,cảm tạ,.,,,easy
お礼,おれい,đáp lễ,.,,,easy
お詫び,おわび,xin lỗi,.,,,easy
おじぎ,おじぎ,cúi chào,.,,,easy
握手,あくしゅ,bắt tay,.,,,easy
いじわる,いじわる,xấu bụng,.,,,easy
いたずら,いたずら,nghịch ngợm,.,,,easy
節約,せつやく,tiết kiệm,.,,,easy
経営,けいえい,quản lý,.,,,easy
反省,はんせい,tự kiểm tra,.,,,easy
実行,じっこう,thực hành,.,,,easy
進歩,しんぽ,tiến bộ,.,,,easy
変化,へんか,"thay đổi, biến hóa",.,,,easy
発達,はったつ,phát triển,.,,,easy
体力,たいりょく,thể lực,.,,,easy
出場,しゅつじょう,tham dự,.,,,easy
活躍,かつやく,hoạt động,.,,,easy
競争,きょうそう,cạnh tranh,.,,,easy
応援,おうえん,cổ vũ,.,,,easy
拍手,はくしゅ,vỗ tay,.,,,easy
人気,にんき,nổi tiếng,.,,,easy
うわさ,うわさ,tin đồn,.,,,easy
情報,じょうほう,thông tin,.,,,easy
交換,こうかん,trao đổi,.,,,easy
流行,りゅうこう,trào lưu,.,,,easy
宣伝,せんでん,tuyên truyền,.,,,easy
広告,こうこく,quảng cáo,.,,,easy
注目,ちゅうもく,chú trọng,.,,,easy
通訳,つうやく,thông dịch,.,,,easy
翻訳,ほにゃく,biên dịch,.,,,easy
伝言,でんごん,tin nhắn thoại,.,,,easy
報告,ほうこく,báo cáo,.,,,easy
録画,ろくが,ghi lại,.,,,easy
混雑,こんざつ,hỗn tạp,.,,,easy
渋滞,じゅうたい,tắc đường,.,,,easy
衝突,しょうとつ,xung đột,.,,,easy
被害,ひがい,thiệt hại,.,,,easy
事故,じこ,tai nạn,.,,,easy
事件,じけん,sự kiện,.,,,easy
故障,こしょう,hỏng,.,,,easy
修理,しゅうり,sửa chữa,.,,,easy
停電,ていでん,mất điện,.,,,easy
調子,ちょうし,trạng thái,.,,,easy
緊張,きんちょう,lo lắng,.,,,easy
自身,じしん,tự tin,.,,,easy
自慢,じまん,tự mãn,.,,,easy
感心,かんしん,quan tâm,.,,,easy
感動,かんどう,cảm động,.,,,easy
興奮,こうふん,hưng phấn,.,,,easy
感想,かんそう,cảm tưởng,.,,,easy
予想,よそう,dự đoán,.,,,easy
専門,せんもん,chuyên môn,.,,,easy
研究,けんきゅう,nghiên cứu,.,,,easy
調査,ちょうさ,điều tra,.,,,easy
原因,げんいん,nguyên nhân,.,,,easy
結果,けっか,kết quả,.,,,easy
解決,かいけつ,giải quyết,.,,,easy
確認,かくにん,xác nhận,.,,,easy
利用,りよう,sử dụng,.,,,easy
理解,りかい,lý giải,.,,,easy
発見,はっけん,phát kiến,.,,,easy
発明,はつめい,phát minh,.,,,easy
関係,かんけい,quan hệ,.,,,easy
団体,だんたい,đoàn thể,.,,,easy
選挙,せんきょ,bầu cử,.,,,easy
税金,ぜいきん,thuế,.,,,easy
責任,せきにん,trách nhiệm,.,,,easy
書類,しょるい,tài liệu,.,,,easy
題名,だいめい,tiêu đề,.,,,easy
条件,じょうけん,điều kiện,.,,,easy
締め切り,しめきり,hạn cuối,.,,,easy
期間,きかん,"thời gian, thời kỳ",.,,,easy
倍,ばい,lần,.,,,easy
くじ,くじ,"xổ số, rút thăm",.,,,easy
近道,ちかみち,đường tắt,.,,,easy
中心,ちゅうしん,trung tâm,.,,,easy
辺り,あたり,"gần, lân cận",.,,,easy
周り,まわり,"xung quanh, vòng quanh",.,,,easy
穴,あな,lỗ,.,,,easy
列,れつ,hàng,.,,,easy
幅,はば,chiều rộng,.,,,easy
範囲,はんい,phạm vi,.,,,easy
内容,ないよう,nội dung,.,,,easy
中身,なかみ,bên trong,.,,,easy
特徴,とくちょう,đặc trưng,.,,,easy
普通,ふつう,bình thường,.,,,easy
当たり前,あたりまえ,đương nhiên,.,,,easy
偽,にせ,giả,.,,,easy
別,べつ,khác,.,,,easy
国籍,こくせき,quốc tịch,.,,,easy
東洋,とうよう,phương đông,.,,,easy
西洋,せいよう,phương tây,.,,,easy
国際,こくさい,quốc tế,.,,,easy
自然,しぜん,tự nhiên,.,,,easy
景色,けしき,phong cảnh,.,,,easy
宗教,しゅうきょう,tôn giáo,.,,,easy
愛,あい,yêu,.,,,easy
