word,pronunciation,meaning,example,image_url,category,difficulty
上る,のぼる,leo lên,.,,,easy
下る,くだる,đi xuống,.,,,easy
進む,すすむ,tiến lên,.,,,easy
進める,すすめる,làm cho tiến lên,.,,,easy
通る,とおる,"thông qua, được chấp nhận, đi qua",.,,,easy
通す,とおす,"xuyên qua, thông qua",.,,,easy
超える・越える,こえる,vượt qua,.,,,easy
過ぎる,すぎる,"quá, đi qua",.,,,easy
過ごす,すごす,sử dụng(thời gian),.,,,easy
移る,うつる,được chuyển,.,,,easy
移す,うつす,chuyển,.,,,easy
連れる,つれる,dẫn đi,.,,,easy
寄る,よる,"ghé sát, lại gần",.,,,easy
寄せる,よせる,ghé vào,.,,,easy
与える,あたえる,"trao, cung cấp",.,,,easy
得る,える,"đạt được, có được",.,,,easy
向く,むく,"hướng, đối diện",.,,,easy
向ける,むける,"hướng đến, quay",.,,,easy
勧める,すすめる,"rủ, mời, gợi ý",.,,,easy
薦める,すすめる,"giới thiệu, gợi ý",.,,,easy
任せる,まかせる,"tin tưởng, để cho ai đó làm gì",.,,,easy
守る,まもる,"giữ, tuân thủ, bảo vệ",.,,,easy
争う,あらそう,"gây gổ, tranh giành",.,,,easy
臨む,のぞむ,ước,.,,,easy
信じる,しんじる,tin tưởng,.,,,easy
通じる,つうじる,"hiểu, thông qua",.,,,easy
飽きる,あきる,"chán, ngấy",.,,,easy
思いつく,おもいつく,nghĩ về,.,,,easy
思いやる,おもいやる,"quan tâm, thông cảm",.,,,easy
熱中する,ねっちゅうする,nghiện,.,,,easy
暮らす,くらす,sống,.,,,easy
巻く,まく,"quấn, quàng",.,,,easy
結ぶ,むすぶ,"buộc, cột, nối",.,,,easy
済む,すむ,kết thúc,.,,,easy
済ませる・済ます,すませる・済ます,hoàn tất,.,,,easy
出来る,できる,"có thể, được xây dựng",.,,,easy
切れる,きれる,"cắt, hết hạn",.,,,easy
切らす,きらす,hết,.,,,easy
伝わる,つたわる,"được truyền đi, được trải ra, được giới thiệu",.,,,easy
伝える,つたえる,"truyền đi, giới thiệu",.,,,easy
続く,つづく,"tiếp tục, xảy ra, lặp lại, theo sau",.,,,easy
続ける,つづける,"tiếp tục, xảy ra liên tiếp",.,,,easy
つながる,つながる,"được kết nối, được mở rộng, thông qua",.,,,easy
つなぐ,つなぐ,"kết nối, tham gia",.,,,easy
つなげる,つなげる,"kết nối, làm chặt thêm",.,,,easy
伸びる,のびる,"lớn lên, tăng thêm, dài ra",.,,,easy
伸ばす,のばす,"nuôi dài, căng ra",.,,,easy
延びる,のびる,"bị trì hoãn, bị kéo dài",.,,,easy
延ばす,のばす,"trì hoãn, kéo dài",.,,,easy
重なる,かさなる,"xung đột, xếp chồng",.,,,easy
重ねる,かさねる,"chồng lên, tích trữ",.,,,easy
広がる,ひろがる,"mở rộng, bùng phát, lan tràn, trải dài",.,,,easy
広げる,ひろげる,"mở thêm, mở rộng, nới rộng, mở ra",.,,,easy
載る,のる,"vừa, được công bố",.,,,easy
載せる,のせる,"cho vào, cho lên, công bố",.,,,easy
そろう,そろう,"thu thập, được thu thập",.,,,easy
そろえる,そろえる,"gom lại, chuẩn bị sẵn sàng",.,,,easy
まとまる,まとまる,"được thống nhất, được tổ chức, được sắp xếp",.,,,easy
まとめる,まとめる,"tập hợp, sàng lọc, hợp nhất, tổ chức",.,,,easy
付く,つく,"dính, gắn, đạt được, đi cùng với",.,,,easy
付ける,つける,"gắn, thêm vào",.,,,easy
たまる,たまる,được tiết kiệm,.,,,easy
ためる,ためる,tiết kiệm,.,,,easy
交じる・混じる,まじる,"giao vào, lẫn vào",.,,,easy
交ざる・混ざる,まざる,được trộn lẫn,.,,,easy
交ぜる・混ぜる,まぜる,trộn vào,.,,,easy
解ける・溶ける,とける,"được giải quyết, nóng chảy",.,,,easy
解く・溶く,とく,"giải quyết, nóng chảy",.,,,easy
含む,ふくむ,"chứa, bao gồm",.,,,easy
含める,ふくめる,bao gồm,.,,,easy
抜ける,ぬける,"tháo, tuột",.,,,easy
抜く,ぬく,lấy ra,.,,,easy
現れる,あらわれる,"xuất hiện, được thẻ hiện",.,,,easy
現す,あらわす,"xuất hiện, hiện ra",.,,,easy
表れる,あらわれる,biểu hiện (trên mặt),.,,,easy
表す,あらわす,"biểu thị, biểu lộ, đại diện",.,,,easy
散る,ちる,"bị tàn, rụng",.,,,easy
散らす,ちらす,tàn,.,,,easy
明ける,あける,"(đêm) đến, (năm mới) bắt đầu, (mùa mưa) kết thúc",.,,,easy
差す,さす,"(mặt trời) chiếu sáng, mở (ô), nhỏ (thuốc mắt)",.,,,easy
