word,pronunciation,meaning,example,image_url,category,difficulty
パートナ,パートナー,đối tác,.,,,easy
リーダー,リーダー,lãnh đạo,.,,,easy
ボランティア,ボランティア,tình nguyện,.,,,easy
コミュニケーション,コミュニケーション,giao tiếp,.,,,easy
ユーモア,ユーモア,"hài hước, đùa",.,,,easy
ショック,ショック,"shock, choáng",.,,,easy
ストレス,ストレス,"căng thẳng, stress",.,,,easy
バランス,バランス,cân bằng,.,,,easy
レベル,レベル,"trình độ, level",.,,,easy
アップ,アップ,tăng lên,.,,,easy
ダウン,ダウン,giảm xuống,.,,,easy
プラス,プラス,"phép cộng, tác động tích cực",.,,,easy
マイナス,マイナス,"phép trừ, tác động tiêu cực",.,,,easy
イメージ,イメージ,hình ảnh,.,,,easy
コンテスト,コンテスト,cuộc thi,.,,,easy
マスコミ,マスコミ,thông tin truyền thông,.,,,easy
プライバシー,プライバシー,"cá nhân, riêng tư",.,,,easy
オフィス,オフィス,văn phòng,.,,,easy
ルール,ルール,luật lệ,.,,,easy
マナー,マナー,"kiểu, thói",.,,,easy
ミス,ミス,lỗi,.,,,easy
スケジュール,スケジュール,"lịch, kế hoạch",.,,,easy
タイトル,タイトル,tiêu đề,.,,,easy
テーマ,テーマ,chủ đề,.,,,easy
ストーリー,ストーリー,câu chuyện,.,,,easy
ヒット,ヒット,nổi tiếng,.,,,easy
ブランド,ブランド,nhãn hiệu,.,,,easy
レンタル,レンタル,thuê,.,,,easy
リサイクル,リサイクル,tái chế,.,,,easy
ラベル,ラベル,nhãn,.,,,easy
タイプ,タイプ,loại,.,,,easy
スタイル,スタイル,kiểu dáng,.,,,easy
セット,セット,"cài đặt, set",.,,,easy
ウイルス,ウイルス,virus,.,,,easy
ロボット,ロボット,robot,.,,,easy
エネルギー,エネルギー,năng lượng,.,,,easy
デジタル,デジタル,kỹ thuật số,.,,,easy
マイク,マイク,"microphone, ghi âm",.,,,easy
ブレーキ,ブレーキ,phanh,.,,,easy
ペンキ,ペンキ,sơn,.,,,easy
炊ける,たける,được nấu,.,,,easy
炊く,たく,nấu,.,,,easy
煮える,にえる,"được nấu, được ninh",.,,,easy
煮る,にる,"nấu, ninh, luộc",.,,,easy
炒める,いためる,rán,.,,,easy
焼ける,やける,"được nấu, được nướng",.,,,easy
焼く,やく,"nướng, nấu",.,,,easy
ゆでる,ゆでる,luộc,.,,,easy
揚げる,あげる,rán ngập,.,,,easy
蒸す,むす,hấp,.,,,easy
