word,pronunciation,meaning,example,image_url,category,difficulty
読書,どくしょ,đọc viết,.,,,easy
演奏,えんそう,biểu diễn,.,,,easy
芸術,げいじゅつ,nghệ thuật,.,,,easy
検査,けんさ,kiểm tra,.,,,easy
血液,けつえき,máu,.,,,easy
治療,ちりょう,trị liệu,.,,,easy
症状,しょうじょう,triệu chứng,.,,,easy
予防,よぼう,dự phòng,.,,,easy
栄養,えいよう,dinh dưỡng,.,,,easy
手術,しゅじゅつ,phẫu thuật,.,,,easy
死亡,しぼう,tử vong,.,,,easy
命,いのち,sinh mạng,.,,,easy
一生,いっしょう,suốt đời,.,,,easy
誤解,ごかい,hiểu nhầm,.,,,easy
後悔,こうかい,hối hận,.,,,easy
訳,わけ,lý do,.,,,easy
態度,たいど,thái độ,.,,,easy
癖,くせ,thói quen,.,,,easy
礼儀,れいぎ,lễ nghĩa,.,,,easy
文句,もんく,phàn nàn,.,,,easy
表情,ひょうじょう,"biểu lộ, biểu thị",.,,,easy
鏡面,ひょうめん,bề mặt,.,,,easy
禁煙,きんえん,cấm hút thuốc,.,,,easy
禁止,きんし,cấm,.,,,easy
完成,かんせい,hoàn thành,.,,,easy
課題,かだい,chủ đề,.,,,easy
例外,れいがい,ngoại lệ,.,,,easy
基本,きほん,cơ bản,.,,,easy
記録,きろく,ghi âm,.,,,easy
状態,じょうたい,trạng thái,.,,,easy
出来事,できごと,sự kiện,.,,,easy
場面,ばめん,"khung cảnh, tình huống, hiện trường",.,,,easy
機会,きかい,cơ hội,.,,,easy
距離,きょり,khoảng cách,.,,,easy
提案,ていあん,đề xuất,.,,,easy
やり取り,やりとり,"trao đổi, làm việc",.,,,easy
知識,ちしき,kiến thức,.,,,easy
実力,じつりょく,thực lực,.,,,easy
手段,しゅだん,cách thức,.,,,easy
代表,だいひょう,đại biểu,.,,,easy
影響,えいきょう,ảnh hưởng,.,,,easy
効果,こうか,hiệu quả,.,,,easy
印象,いんしょう,ấn tượng,.,,,easy
印,しるし,"dấu, dấu hiệu",.,,,easy
合図,あいず,ám hiệu,.,,,easy
共通,きょうつう,chung,.,,,easy
協調,きょうちょう,nhấn mạnh,.,,,easy
省略,しょうりゃく,lược bớt,.,,,easy
挑戦,ちょうせん,thử thách,.,,,easy
やる気,やるき,động lực,.,,,easy
勇気,ゆうき,"dũng cảm, dũng khí",.,,,easy
資格,しかく,"bằng cấp, tư cách",.,,,easy
申請,しんせい,"đăng ký, ứng tuyển",.,,,easy
本人,ほんにん,người được nói đến,.,,,easy
契約,けいやく,hợp đồng,.,,,easy
証明,しょうめい,"chứng minh, bằng chứng",.,,,easy
変更,へんこう,thay đổi,.,,,easy
保存,ほぞん,bảo tồn,.,,,easy
保護,ほご,bảo vệ,.,,,easy
環境,かんきょう,môi trường,.,,,easy
資源,しげん,tài nguyên,.,,,easy
不足,ふそく,thiếu,.,,,easy
平均,へいきん,trung bình,.,,,easy
割合,わりあい,tỷ lệ,.,,,easy
商売,しょうばい,"kinh doanh, buôn bán",.,,,easy
商品,しょうひん,sản phẩm,.,,,easy
質,しつ,chất lượng,.,,,easy
型,かた,mẫu,.,,,easy
生産,せいさん,sản xuất,.,,,easy
消費,しょうひ,"tiêu dùng, tiêu thụ",.,,,easy
物価,ぶっか,"giá cả, vật giá",.,,,easy
倒産,とうさん,phá sản,.,,,easy
携帯,けいたい,mang theo,.,,,easy
現代,げんだい,hiện tại,.,,,easy
世紀,せいき,thế kỷ,.,,,easy
文化,ぶんか,văn hóa,.,,,easy
都市,とし,thành phố,.,,,easy
地方,ちほう,địa phương,.,,,easy
戦争,せんそう,chiến tranh,.,,,easy
平和,へいわ,hòa bình,.,,,easy
