word,pronunciation,meaning,example,image_url,category,difficulty
飾り,かざり,trang trí,.,,,easy
遊び,あそび,chơi,.,,,easy
集まり,あつまり,tập hợp,.,,,easy
教え,おしえ,dạy,.,,,easy
踊り,おどり,nhảy,.,,,easy
思い,おもい,"suy nghĩ, cảm giác",.,,,easy
考え,かんがえ,"nghĩ, ý tưởng",.,,,easy
片づけ,かたづけ,ngăn nắp,.,,,easy
手伝い,てつだい,giúp đỡ,.,,,easy
働き,はたらき,hoạt động,.,,,easy
決まり,きまり,luật lệ,.,,,easy
騒ぎ,さわぎ,"ồn ào, om xòm",.,,,easy
知らせ,しらせ,"tin tức, thông báo",.,,,easy
頼み,たのみ,yêu cầu,.,,,easy
疲れ,つかれ,"vất vả, mệt mỏi",.,,,easy
違い,ちがい,khác biệt,.,,,easy
始め,はじめ,khởi đầu,.,,,easy
続き,つづき,tiếp tục,.,,,easy
暮れ,くれ,cuối năm,.,,,easy
行き,いき,đi,.,,,easy
帰り,かえり,trở về,.,,,easy
急ぎ,いそぎ,"khẩn cấp, vội",.,,,easy
遅れ,おくれ,gián đoạn,.,,,easy
貸し,かし,cho mượn,.,,,easy
借り,かり,mượn,.,,,easy
勝ち,かち,thắng,.,,,easy
負け,まけ,thua,.,,,easy
迎え,むかえ,đón,.,,,easy
始まり,はじまり,bắt đầu,.,,,easy
終わり,おわり,kết thúc,.,,,easy
戻り,もどり,"trở về, trả lại",.,,,easy
別れ,わかれ,chia ly,.,,,easy
喜び,よろこび,hớn hở,.,,,easy
楽しみ,たのしみ,sung sướng,.,,,easy
笑い,わらい,cười,.,,,easy
驚き,おどろき,ngạc nhiên,.,,,easy
怒り,いかり,giận dữ,.,,,easy
悲しみ,かなしみ,buồn bã,.,,,easy
幸せな,しあわせな,hạnh phúc,.,,,easy
得意な,とくいな,"mạnh, giỏi",.,,,easy
苦手な,にがてな,"yếu, kém",.,,,easy
熱心な,ねっしんな,chăm chỉ,.,,,easy
夢中な,むちゅうな,chú tâm,.,,,easy
退屈な,たいくつな,chán,.,,,easy
健康な,けんこうな,khỏe khoắn,.,,,easy
苦しい,くるしい,cực khổ,.,,,easy
平気な,へいきな,bình thản,.,,,easy
悔しい,くやしい,cay cú,.,,,easy
うらやましい,うらやましい,ghen tỵ,.,,,easy
かゆい,かゆい,ngứa,.,,,easy
おとなしい,おとなしい,trầm lặng,.,,,easy
我慢強い,がまんづよい,chịu đựng giỏi,.,,,easy
正直な,しょうじきな,trung thực,.,,,easy
けちな,けちな,kẹt xỉ,.,,,easy
我儘な,わがままな,ích kỷ,.,,,easy
積極的な,せっきょくてきな,tích cực,.,,,easy
消極的な,しょうきょくてきな,tiêu cực,.,,,easy
満足な,まんぞくな,thỏa mãn,.,,,easy
不満な,ふまんな,bất mãn,.,,,easy
不安な,ふあんな,bất an,.,,,easy
大変な,たいへんな,tồi tệ,.,,,easy
無理な,むりな,vô lý,.,,,easy
不注意な,ふちゅういな,không chú ý,.,,,easy
楽な,らくな,thoải mái,.,,,easy
面倒な,めんどうな,phiền phức,.,,,easy
失礼な,しつれいな,thất lễ,.,,,easy
当然な,とうぜんな,đương nhiên,.,,,easy
意外な,いがいな,không ngờ đến,.,,,easy
結構な,けっこうな,"tốt, đủ",.,,,easy
派手な,はでな,lòe loẹt,.,,,easy
地味な,じみな,giản dị,.,,,easy
おしゃれな,おしゃれな,"thời trang, mốt",.,,,easy
変な,へんな,lạ,.,,,easy
不思議な,ふしぎな,thần bí,.,,,easy
ましな,ましな,tốt lên,.,,,easy
むだな,むだな,lãng phí,.,,,easy
自由な,じゆうな,tự do,.,,,easy
不自由な,ふじゆうな,"tàn tật, không tự do",.,,,easy
