word,pronunciation,meaning,example,image_url,category,difficulty
渇く,かわく,khát,.,,,easy
嗅ぐ,かぐ,ngửi,.,,,easy
叩く,たたく,"đánh, vỗ",.,,,easy
殴る,なぐる,đấm,.,,,easy
ける,ける,đá,.,,,easy
抱く,だく,ôm,.,,,easy
倒れる,たおれる,đổ,.,,,easy
倒す,たおす,làm đổ,.,,,easy
起きる,おきる,thức dậy,.,,,easy
起こす,おこす,đánh thức,.,,,easy
尋ねる,たずねる,hỏi,.,,,easy
呼ぶ,よぶ,gọi,.,,,easy
叫ぶ,さけぶ,gào to,.,,,easy
黙る,だまる,im lặng,.,,,easy
飼う,かう,nuôi,.,,,easy
数える,かぞえる,đếm,.,,,easy
乾く,かわく,khô,.,,,easy
乾かす,かわかす,làm khô,.,,,easy
畳む,たたむ,gấp,.,,,easy
誘う,さそう,"mời, rủ",.,,,easy
おごる,おごる,chiêu đãi,.,,,easy
預かる,あずかる,chăm sóc,.,,,easy
預ける,あずける,gửi,.,,,easy
決まる,きまる,được quyết định,.,,,easy
決める,きめる,quyết định,.,,,easy
写る,うつる,chụp được,.,,,easy
写す,うつす,chụp,.,,,easy
思い出す,おもいだす,nhớ lại,.,,,easy
教わる,おそわる,được dạy,.,,,easy
申し込む,もうしこむ,đăng ký,.,,,easy
断る,ことわる,từ chối,.,,,easy
見つかる,みつかる,được tìm thấy,.,,,easy
見つける,みつける,tìm thấy,.,,,easy
捕まる,つかまる,bị bắt,.,,,easy
捕まえる,つかまえる,bắt,.,,,easy
乗る,のる,leo lên,.,,,easy
乗せる,のせる,cho lên,.,,,easy
降りる,おりる,xuống,.,,,easy
降ろす,おろす,cho xuống,.,,,easy
直る,なおる,được sửa,.,,,easy
直す,なおす,sửa,.,,,easy
治る,なおる,hồi phục,.,,,easy
治す,なおす,cứu chữa,.,,,easy
亡くなる,なくなる,chết,.,,,easy
亡くす,なくす,mất,.,,,easy
生まれる,うまれる,được sinh ra,.,,,easy
生む,うむ,sinh,.,,,easy
出会う,であう,gặp (ngẫu nhiên),.,,,easy
訪ねる,たずねる,thăm,.,,,easy
付き合う,つきあう,"hẹn hò, giao tiếp",.,,,easy
効く,きく,có hiệu quả,.,,,easy
はやる,はやる,phổ biến,.,,,easy
経つ,たつ,qua,.,,,easy
間に合う,まにあう,làm cho kịp giờ,.,,,easy
間に合わせる,まにあわせる,kịp giờ,.,,,easy
通う,かよう,"đi làm, học",.,,,easy
込む,こむ,đông,.,,,easy
すれ違う,すれちあう,"vượt, lướt",.,,,easy
掛かる,かかる,được bao phủ,.,,,easy
掛ける,かける,bao phủ,.,,,easy
動く,うごく,hoạt động,.,,,easy
動かす,うごかす,di chuyển,.,,,easy
離れる,はなれる,tránh xa,.,,,easy
離す,はなす,tách ra,.,,,easy
ぶつかる,ぶつかる,bị đâm,.,,,easy
ぶつける,ぶつける,đâm,.,,,easy
こぼれる,こぼれる,bị tràn,.,,,easy
こぼす,こぼす,tràn,.,,,easy
ふく,ふく,lau,.,,,easy
片付く,かたづく,được dọn dẹp,.,,,easy
片付ける,かたづける,dọn dẹp,.,,,easy
包む,つつむ,bọc,.,,,easy
張る,はる,dán,.,,,easy
無くなる,なくなる,bị mất,.,,,easy
無くす,なくす,mất,.,,,easy
足りる,たりる,đủ,.,,,easy
残る,のこる,bị thừa,.,,,easy
残す,のこす,thừa,.,,,easy
腐る,くさる,thối,.,,,easy
むける,むける,bị lột,.,,,easy
むく,むく,lột,.,,,easy
滑る,すべる,trượt,.,,,easy
積もる,つもる,được tích tụ,.,,,easy
積む,つむ,"tích tụ, chất lại",.,,,easy
空く,あく,bị thủng,.,,,easy
空ける,あける,thủng,.,,,easy
下がる,さがる,bị giảm,.,,,easy
下げる,さげる,giảm,.,,,easy
冷える,ひえる,bị lạnh,.,,,easy
冷やす,ひやす,làm lạnh,.,,,easy
冷める,さめる,bị nguội,.,,,easy
冷ます,さます,làm nguội,.,,,easy
燃える,もえる,cháy,.,,,easy
燃やす,もやす,đốt,.,,,easy
沸く,わく,sôi,.,,,easy
沸かす,わかす,đun sôi,.,,,easy
鳴る,なる,kêu,.,,,easy
鳴らす,ならす,làm kêu,.,,,easy
役立つ,やくだつ,hữu ích,.,,,easy
役立てる,やくだてる,được sử dụng,.,,,easy
