word,pronunciation,meaning,example,image_url,category,difficulty
クラスメート,,bạn cùng lớp,.,,,easy
グループ,,nhóm,.,,,easy
チーム,,đội,.,,,easy
プロフェッショナル,,chuyên nghiệp,.,,,easy
アマチュア,,nghiệp dư,.,,,easy
トレーニング,,đào tạo,.,,,easy
マッサージ,,mát xa,.,,,easy
アドバイス,,khuyên,.,,,easy
アイデア・アイディア,,ý tưởng,.,,,easy
トップ,,top,.,,,easy
スピード,,tốc độ,.,,,easy
ラッシュ,,đông đúc,.,,,easy
バイク,,xe máy,.,,,easy
ヘルメット,,mũ bảo hiểm,.,,,easy
コンタクトレンズ,,kính áp tròng,.,,,easy
ガラス,,kính,.,,,easy
プラスチック,,nhựa,.,,,easy
ベランダ,,ban công,.,,,easy
ペット,,thú cưng,.,,,easy
ベンチ,,ghế bành,.,,,easy
デザイン,,thiết kế,.,,,easy
バーゲンセール,,sale,.,,,easy
パート,,làm thêm,.,,,easy
コンビニエンスストア,,cửa hàng tiện ích,.,,,easy
レジ,,máy tính tiền,.,,,easy
レシート,,hóa đơn,.,,,easy
インスタント,,ăn liền,.,,,easy
ファストフード,,đồ ăn nhanh,.,,,easy
フルーツ,,trái cây,.,,,easy
デザート,,tráng miệng,.,,,easy
インターネット,,internet,.,,,easy
チャイム,,chuông,.,,,easy
アナウンス,,thông báo,.,,,easy
メッセージ,,tin nhắn,.,,,easy
パンフレット,,tờ rơi,.,,,easy
カード,,card,.,,,easy
インタビュー,,phỏng vấn,.,,,easy
アンケート,,tờ câu hỏi,.,,,easy
データ,,dữ liệu,.,,,easy
パーセント,,phần trăm,.,,,easy
