word,pronunciation,meaning,example,image_url,category,difficulty
届く,とどく,được giao đến,.,,,easy
届ける,とどける,giao đến,.,,,easy
かく,かく,gãi,.,,,easy
つかむ,つかむ,"tóm, chộp",.,,,easy
握る,にぎる,nắm chặt,.,,,easy
抑える,おさえる,giữ,.,,,easy
近づく,ちかづく,lại gần,.,,,easy
近づける,ちかづける,mang đến gần,.,,,easy
合う,あう,gặp,.,,,easy
合わせる,あわせる,"tập hợp, hiệp lực",.,,,easy
当たる,あたる,bị đánh,.,,,easy
当てる,あてる,đánh,.,,,easy
比べる,くらべる,so sánh,.,,,easy
似合う,にあう,hợp,.,,,easy
似る,にる,giống,.,,,easy
似せる,にせる,bắt chước,.,,,easy
分かれる,わかれる,được chia ra,.,,,easy
分ける,わける,chia,.,,,easy
足す,たす,"cộng, thêm vào",.,,,easy
引く,ひく,"kéo, trừ",.,,,easy
増える,ふえる,tăng lên,.,,,easy
増やす,ふやす,làm tăng lên,.,,,easy
減る,へる,giảm xuống,.,,,easy
減らす,へらす,làm giảm xuống,.,,,easy
変わる,かわる,thay đổi,.,,,easy
変える,かえる,làm thay đổi,.,,,easy
代わる・替わる・換わる,かわる,thay,.,,,easy
代える・替える・換える,かえる,đổi,.,,,easy
返る,かえる,được trả lại,.,,,easy
返す,かえす,trả lại,.,,,easy
譲る,ゆずる,nhường,.,,,easy
助かる,たすかる,được giúp,.,,,easy
助ける,たすける,giúp,.,,,easy
いじめる,いじめる,bắt nạt,.,,,easy
だまる,だまる,lừa,.,,,easy
盗む,ぬすむ,lấy cắp,.,,,easy
刺さる,ささる,bị đâm,.,,,easy
刺す,さす,đâm,.,,,easy
殺す,ころす,giết,.,,,easy
隠れる,かくれる,"ẩn náu, trốn",.,,,easy
隠す,かくす,che giấu,.,,,easy
埋まる,うまる,bị chôn,.,,,easy
埋める,うめる,chôn,.,,,easy
囲む,かこむ,vây quanh,.,,,easy
詰まる,つまる,"đầy, chặt",.,,,easy
詰める,つめる,đóng gói,.,,,easy
開く,ひらく,mở,.,,,easy
閉じる,とじる,dđóng,.,,,easy
飛ぶ,とぶ,bay,.,,,easy
飛ばす,とばす,cho bay,.,,,easy
振る,ふる,"rung, vẫy",.,,,easy
めくる,めくる,lật lên,.,,,easy
見かける,みかける,tình cờ thấy,.,,,easy
確かめる,たしかめる,kiểm tra lại,.,,,easy
試す,ためす,thử,.,,,easy
繰り返す,くりかえす,lặp lại,.,,,easy
訳す,やくす,dịch,.,,,easy
行う,おこなう,tổ chức,.,,,easy
間違う,まちがう,bị sai,.,,,easy
間違える,まちがえる,làm sai,.,,,easy
許す,ゆるす,"tha thứ, cho phép",.,,,easy
慣れる,なれる,quen,.,,,easy
慣らす,ならす,khởi động,.,,,easy
立つ,たつ,đứng,.,,,easy
立てる,たてる,dựng lên,.,,,easy
建つ,たつ,được xây,.,,,easy
建てる,たてる,xây,.,,,easy
育つ,そだつ,được nuôi dạy,.,,,easy
育てる,そだてる,"nuôi, dạy",.,,,easy
生える,はえる,mọc,.,,,easy
生やす,はやす,nuôi(râu),.,,,easy
汚れる,よごれる,bị bẩn,.,,,easy
汚す,よごす,làm bẩn,.,,,easy
壊れる,こわれる,bị hỏng,.,,,easy
壊す,こわす,làm hỏng,.,,,easy
割れる,われる,bị vỡ,.,,,easy
割る,わる,làm vỡ,.,,,easy
折れる,おれる,bị gãy,.,,,easy
折る,おる,làm gãy,.,,,easy
破れる,やぶれる,bị rách,.,,,easy
破る,やぶる,xé rách,.,,,easy
曲がる,まがる,"gập, cong",.,,,easy
曲げる,まげる,"bẻ, uốn",.,,,easy
外れる,はずれる,bị rời ra,.,,,easy
外す,はずす,tách ra,.,,,easy
揺れる,ゆれる,bị rung,.,,,easy
揺らす,ゆらす,đung đưa,.,,,easy
流れる,ながれる,chảy,.,,,easy
流す,ながす,cho chảy,.,,,easy
濡れる,ぬれる,bị ướt,.,,,easy
濡らす,ぬらす,làm ướt,.,,,easy
迷う,まよう,lạc đường,.,,,easy
悩む,なやむ,băn khoăn,.,,,easy
慌てる,あわてる,vội vàng,.,,,easy
覚める,さめる,thức dậy,.,,,easy
覚ます,さます,"mở mắt, tỉnh",.,,,easy
眠る,ねむる,ngủ,.,,,easy
祈る,いのる,"cầu, khấn",.,,,easy
祝う,いわう,ăn mừng,.,,,easy
感じる,かんじる,cảm thấy,.,,,easy
