word,pronunciation,meaning,example,image_url,category,difficulty
濃い,こい,"đậm, đặc",.,,,easy
薄い,うすい,"mỏng, nhạt",.,,,easy
酸っぱい,すっぱい,chua,.,,,easy
臭い,くさい,thối,.,,,easy
おかしい,おかしい,lạ,.,,,easy
かっこいい,かっこいい,bảnh bao,.,,,easy
うまい,うまい,ngon,.,,,easy
親しい,したしい,thân thiết,.,,,easy
詳しい,くわしい,chi tiết,.,,,easy
細かい,こまかい,"tiểu tiết, bé",.,,,easy
浅い,あさい,nông,.,,,easy
固い・硬い,かたい,cứng,.,,,easy
ぬるい,ぬるい,nguội,.,,,easy
まぶしい,まぶしい,chói,.,,,easy
蒸し暑い,むしあつい,nóng ẩm,.,,,easy
清潔な,せいけつな,sạch,.,,,easy
新鮮な,しんせんな,tươi,.,,,easy
豊かな,ゆたかな,giàu có,.,,,easy
立派な,りっぱな,siêu,.,,,easy
正確な,せいかくな,chính xác,.,,,easy
確かな,たしかな,đích thực,.,,,easy
重要な,じゅうような,quan trọng,.,,,easy
必要な,ひつような,cần thiết,.,,,easy
もったいない,もったいない,lãng phí,.,,,easy
すごい,すごい,"ghê, siêu",.,,,easy
ひどい,ひどい,tồi,.,,,easy
激しい,はげしい,mãnh liệt,.,,,easy
そっくりな,そっくりな,giống,.,,,easy
急な,きゅうな,đột nhiên,.,,,easy
敵とな,てきとな,phù hợp,.,,,easy
特別な,とくべつな,đặc biệt,.,,,easy
完全な,かんぜんな,toàn bộ,.,,,easy
盛んな,さかんな,thịnh vượng,.,,,easy
様々な,さまざまな,đa đạng,.,,,easy
可能な,かのうな,khả thi,.,,,easy
不可能な,ふかのうな,bất khả thi,.,,,easy
基本的な,きほんてきな,cơ bản,.,,,easy
国際的な,こくさいてきな,tính quốc tế,.,,,easy
ばらばらな,ばらばらな,"tung tóe, chia rẽ",.,,,easy
ぼろぼろな,ぼろぼろな,"rách nát, te tua",.,,,easy
